"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25578","Import Results for Moisture worksheet","Moisture - Profile","Tue Jul 01 22:00:04 GMT 2025","passed","Tue Jul 01 22:00:30 GMT 2025","","","",""
"","36712","Set Up Worksheet For Residual Solvents Sample","Residual Solvents - Profile","Tue Jul 01 21:53:14 GMT 2025","passed","Tue Jul 01 21:53:51 GMT 2025","","","",""
"","39800","Sample Creation For Terpenes Profile","Terpenes - Profile","Tue Jul 01 21:46:26 GMT 2025","passed","Tue Jul 01 21:47:06 GMT 2025","","","",""
"","25841","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 01 21:55:15 GMT 2025","passed","Tue Jul 01 21:55:41 GMT 2025","","","",""
"","23438","Receive Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Tue Jul 01 21:41:41 GMT 2025","passed","Tue Jul 01 21:42:05 GMT 2025","","","",""
"","23513","Start Preparation for Terpenes worksheet","Terpenes - Profile","Tue Jul 01 21:49:29 GMT 2025","passed","Tue Jul 01 21:49:53 GMT 2025","","","",""
"","23213","Receive Sample Partitions For Moisture Profile","Moisture - Profile","Tue Jul 01 21:57:46 GMT 2025","passed","Tue Jul 01 21:58:09 GMT 2025","","","",""
"","23262","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Tue Jul 01 21:52:27 GMT 2025","passed","Tue Jul 01 21:52:50 GMT 2025","","","",""
"","28084","Import Results for Terpenes worksheet","Terpenes - Profile","Tue Jul 01 21:49:53 GMT 2025","passed","Tue Jul 01 21:50:21 GMT 2025","","","",""
"","32070","Set up instruments for Terpenes worksheet","Terpenes - Profile","Tue Jul 01 21:48:57 GMT 2025","passed","Tue Jul 01 21:49:29 GMT 2025","","","",""
"","23343","Start Preparation for Moisture worksheet","Moisture - Profile","Tue Jul 01 21:59:41 GMT 2025","passed","Tue Jul 01 22:00:04 GMT 2025","","","",""
"","32654","Order Creation For Test Customer","Cannabinoids - Profile","Tue Jul 01 21:40:29 GMT 2025","passed","Tue Jul 01 21:41:01 GMT 2025","","","",""
"","23739","Accession Sample Partitions For Terpenes Profile","Terpenes - Profile","Tue Jul 01 21:47:29 GMT 2025","passed","Tue Jul 01 21:47:52 GMT 2025","","","",""
"","24698","Verify Results in Terpenes worksheet","Terpenes - Profile","Tue Jul 01 21:50:21 GMT 2025","passed","Tue Jul 01 21:50:46 GMT 2025","","","",""
"","35389","Publish Cannabinoids results","Cannabinoids - Profile","Tue Jul 01 21:45:24 GMT 2025","passed","Tue Jul 01 21:46:00 GMT 2025","","","",""
"","24172","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Tue Jul 01 21:42:05 GMT 2025","passed","Tue Jul 01 21:42:29 GMT 2025","","","",""
"","23635","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Tue Jul 01 21:52:50 GMT 2025","passed","Tue Jul 01 21:53:14 GMT 2025","","","",""
"","24487","Verify Results in Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 01 21:55:41 GMT 2025","passed","Tue Jul 01 21:56:05 GMT 2025","","","",""
"","39957","Sample Creation For Moisture Profile","Moisture - Profile","Tue Jul 01 21:57:06 GMT 2025","passed","Tue Jul 01 21:57:46 GMT 2025","","","",""
"","35262","Publish Terpenes results","Terpenes - Profile","Tue Jul 01 21:50:46 GMT 2025","passed","Tue Jul 01 21:51:21 GMT 2025","","","",""
"","36779","Set Up Worksheet For Moisture Sample","Moisture - Profile","Tue Jul 01 21:58:33 GMT 2025","passed","Tue Jul 01 21:59:09 GMT 2025","","","",""
"","24470","Order Creation For Test Customer","Terpenes - Profile","Tue Jul 01 21:46:01 GMT 2025","passed","Tue Jul 01 21:46:26 GMT 2025","","","",""
"","28289","Set up materials for Terpenes worksheet","Terpenes - Profile","Tue Jul 01 21:48:29 GMT 2025","passed","Tue Jul 01 21:48:57 GMT 2025","","","",""
"","28895","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 01 21:44:31 GMT 2025","passed","Tue Jul 01 21:45:00 GMT 2025","","","",""
"","37009","Set Up Worksheet For Cannabinoids Sample","Cannabinoids - Profile","Tue Jul 01 21:42:29 GMT 2025","passed","Tue Jul 01 21:43:06 GMT 2025","","","",""
"","28371","Set up materials for Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 01 21:53:51 GMT 2025","passed","Tue Jul 01 21:54:19 GMT 2025","","","",""
"","40079","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Tue Jul 01 21:51:47 GMT 2025","passed","Tue Jul 01 21:52:27 GMT 2025","","","",""
"","23154","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Tue Jul 01 21:47:06 GMT 2025","passed","Tue Jul 01 21:47:29 GMT 2025","","","",""
"","36458","Set Up Worksheet For Terpenes Sample","Terpenes - Profile","Tue Jul 01 21:47:52 GMT 2025","passed","Tue Jul 01 21:48:29 GMT 2025","","","",""
"","32431","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 01 21:43:34 GMT 2025","passed","Tue Jul 01 21:44:07 GMT 2025","","","",""
"","34910","Publish Moisture results","Moisture - Profile","Tue Jul 01 22:00:54 GMT 2025","passed","Tue Jul 01 22:01:29 GMT 2025","","","",""
"","35052","Publish Residual Solvents results","Residual Solvents - Profile","Tue Jul 01 21:56:05 GMT 2025","passed","Tue Jul 01 21:56:40 GMT 2025","","","",""
"","23837","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 01 21:44:07 GMT 2025","passed","Tue Jul 01 21:44:31 GMT 2025","","","",""
"","24544","Verify Results in Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 01 21:45:00 GMT 2025","passed","Tue Jul 01 21:45:24 GMT 2025","","","",""
"","23592","Accession Sample Partitions For Moisture Profile","Moisture - Profile","Tue Jul 01 21:58:09 GMT 2025","passed","Tue Jul 01 21:58:33 GMT 2025","","","",""
"","24241","Order Creation For Test Customer","Moisture - Profile","Tue Jul 01 21:56:42 GMT 2025","passed","Tue Jul 01 21:57:06 GMT 2025","","","",""
"","23683","Start Preparation for Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 01 21:54:51 GMT 2025","passed","Tue Jul 01 21:55:15 GMT 2025","","","",""
"","24157","Verify Results in Moisture worksheet","Moisture - Profile","Tue Jul 01 22:00:30 GMT 2025","passed","Tue Jul 01 22:00:54 GMT 2025","","","",""
"","31938","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 01 21:54:19 GMT 2025","passed","Tue Jul 01 21:54:51 GMT 2025","","","",""
"","39973","Sample Creation For Cannabinoids Profile","Cannabinoids - Profile","Tue Jul 01 21:41:01 GMT 2025","passed","Tue Jul 01 21:41:41 GMT 2025","","","",""
"","28461","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 01 21:43:06 GMT 2025","passed","Tue Jul 01 21:43:34 GMT 2025","","","",""
"","31588","Set up instruments for Moisture worksheet","Moisture - Profile","Tue Jul 01 21:59:09 GMT 2025","passed","Tue Jul 01 21:59:41 GMT 2025","","","",""
"","24529","Order Creation For Test Customer","Residual Solvents - Profile","Tue Jul 01 21:51:22 GMT 2025","passed","Tue Jul 01 21:51:47 GMT 2025","","","",""
